"","GAME_ID","Team","Date","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP","PITCH_ID","PITCH_INN_CT","PITCH_OUTS","STRIKEOUTS"
"1","ANA201304090","ANA",20130409,5,37,13,0,2,0,5,1,2,1,4,0,6,1,0,1,0,13,5,9,9,1,0,27,12,0,0,1,0,"parkj001","4","10","1"
"2","ANA201304090","OAK",20130409,9,38,12,0,0,3,9,0,0,0,4,0,8,1,0,1,0,6,7,3,3,1,0,27,11,2,0,2,0,"wilsc004","6","18","7"
"3","ANA201304100","ANA",20130410,5,40,14,4,0,0,5,0,1,0,4,0,8,1,0,1,0,13,5,10,10,0,0,27,11,2,0,0,0,"milot001","5","15","5"
"4","ANA201304100","OAK",20130410,11,44,16,4,1,1,11,0,0,0,7,1,2,2,0,0,0,13,5,5,5,0,0,27,8,1,0,1,0,"blanj001","6","15","0"
"5","ANA201304110","ANA",20130411,1,31,5,1,0,0,1,0,0,0,1,0,2,0,0,1,0,4,5,7,7,0,0,27,10,1,0,2,0,"grifa002","8","24","2"
"6","ANA201304110","OAK",20130411,8,41,16,6,0,2,7,0,0,1,4,1,8,1,0,2,0,11,2,1,1,0,0,27,9,0,0,1,0,"vargj001","6","17","4"
"7","ANA201304120","ANA",20130412,0,29,4,0,0,0,0,0,0,1,2,0,6,0,0,1,0,5,4,5,5,0,0,27,11,2,0,0,0,"norrb001","7","21","5"
"8","ANA201304120","HOU",20130412,5,35,10,3,0,1,5,0,0,0,6,0,7,0,1,0,0,9,4,0,0,0,0,27,11,0,0,2,0,"hanst001","5","15","2"
"9","ANA201304130","ANA",20130413,5,34,13,4,0,1,5,1,2,0,2,0,7,0,0,2,0,8,3,4,4,1,0,27,13,0,0,0,0,"harrl002","6","17","5"
"10","ANA201304130","HOU",20130413,4,30,4,1,0,1,4,1,0,0,3,0,5,0,0,0,0,3,4,4,4,0,0,26,16,1,1,3,0,"richg002","7","19","1"
"11","ANA201304140","ANA",20130414,4,31,9,3,1,2,4,0,0,0,2,0,4,0,1,0,0,5,4,1,1,0,0,27,12,0,0,1,0,"humbp001","7","21","4"
"12","ANA201304140","HOU",20130414,1,33,7,2,0,0,1,0,0,0,5,0,8,0,0,0,0,10,2,4,4,0,0,24,15,0,0,0,0,"wilsc004","6","18","3"
"13","ANA201304190","ANA",20130419,8,37,16,3,1,0,8,1,1,0,1,0,4,0,0,0,0,8,5,1,1,0,0,27,13,0,0,3,0,"sanca004","7","20","3"
"14","ANA201304190","DET",20130419,1,34,10,2,0,0,1,0,0,0,6,0,3,2,0,3,0,12,4,7,7,1,0,24,8,1,0,0,0,"hanst001","6","18","2"
"15","ANA201304200","ANA",20130420,10,35,14,3,0,1,10,0,1,0,2,0,8,0,0,2,0,4,3,0,0,1,0,27,12,0,0,1,0,"porcr001","1","2","0"
"16","ANA201304200","DET",20130420,0,31,4,1,0,0,0,0,0,1,0,0,10,0,0,0,0,5,3,10,10,1,0,24,9,0,0,2,0,"richg002","7","21","8"
"17","ANA201304210","ANA",20130421,4,42,7,0,0,1,1,1,0,3,4,3,16,3,0,2,0,10,6,3,3,0,1,39,13,0,0,0,0,"fistd001","7","21","5"
"18","ANA201304210","DET",20130421,3,49,10,0,0,1,3,0,0,0,6,0,11,1,0,0,0,13,4,1,1,0,0,36,17,3,0,2,0,"wilsc004","6","18","4"
"19","ANA201304220","ANA",20130422,6,34,9,2,0,0,6,0,1,0,5,0,9,0,0,1,0,7,5,7,7,0,0,27,16,2,0,3,0,"holld003","6","17","7"
"20","ANA201304220","TEX",20130422,7,40,15,3,0,1,6,0,0,0,2,0,1,0,0,3,0,8,4,6,6,2,0,27,11,0,0,1,0,"blanj001","7","18","0"
"21","ANA201304230","ANA",20130423,5,37,10,1,0,2,5,0,0,1,4,0,6,0,1,2,0,6,4,3,3,1,0,33,17,1,0,3,0,"ogana001","8","21","5"
"22","ANA201304230","TEX",20130423,4,39,8,1,0,1,3,1,0,1,5,1,5,0,0,3,0,9,3,3,3,0,0,31,19,1,0,3,0,"vargj001","7","21","2"
"23","ANA201304240","ANA",20130424,3,33,9,2,0,0,2,0,0,0,3,0,14,0,0,3,0,6,5,11,11,1,0,27,7,0,0,0,0,"darvy001","6","18","11"
"24","ANA201304240","TEX",20130424,11,38,11,1,0,2,10,0,0,0,6,0,7,1,0,0,0,6,4,3,3,0,0,27,11,0,0,3,0,"rothm001","4","10","2"
"25","ANA201305020","ANA",20130502,1,30,4,0,0,1,1,0,0,0,2,0,5,0,0,0,0,4,2,4,4,0,0,27,16,1,0,1,0,"tillc001","8","24","3"
"26","ANA201305020","BAL",20130502,5,37,10,2,0,1,5,0,0,0,2,0,4,0,0,1,0,7,2,1,1,0,0,27,10,0,0,0,0,"blanj001","8","24","3"
"27","ANA201305030","ANA",20130503,4,32,8,1,0,2,4,0,0,0,1,0,7,0,0,0,0,5,1,0,0,0,0,27,18,0,0,0,0,"gonzm003","6","18","5"
"28","ANA201305030","BAL",20130503,0,30,3,2,0,0,0,0,0,0,2,0,3,0,0,0,0,5,3,4,4,1,0,24,10,0,0,0,0,"vargj001","9","27","3"
"29","ANA201305040","ANA",20130504,4,33,6,0,0,1,4,1,0,0,3,0,4,1,1,1,0,3,5,5,5,1,0,30,10,0,0,2,0,"garcf002","7","20","2"
"30","ANA201305040","BAL",20130504,5,39,12,1,0,3,5,0,1,1,4,1,9,3,0,2,0,10,4,4,4,0,0,30,12,0,0,1,0,"hanst001","5","15","3"
"31","ANA201305050","ANA",20130505,4,36,11,2,0,1,4,0,0,0,6,0,7,1,0,2,0,11,6,8,8,0,0,27,9,2,0,0,0,"hammj002","6","18","5"
"32","ANA201305050","BAL",20130505,8,35,8,2,0,2,8,0,0,0,5,0,8,2,1,0,0,5,5,4,4,1,1,27,16,0,0,2,0,"willj003","5","13","6"
"33","ANA201305130","ANA",20130513,4,36,9,4,0,0,4,0,0,0,0,0,10,0,0,0,0,5,3,11,11,0,0,27,7,0,0,0,0,"mendl001","6","18","6"
"34","ANA201305130","KCA",20130513,11,46,19,5,0,0,11,0,0,0,0,0,13,2,0,0,0,8,2,4,4,2,0,27,12,0,0,0,0,"blanj001","5","14","7"
"35","ANA201305140","ANA",20130514,6,31,12,0,0,4,6,0,1,0,4,0,0,2,0,2,0,6,4,2,2,0,0,27,13,1,0,0,0,"guthj001","7","21","0"
"36","ANA201305140","KCA",20130514,2,34,6,2,0,1,2,0,0,0,1,0,7,1,0,0,0,6,2,6,6,1,0,24,12,0,0,2,0,"vargj001","8","21","7"
"37","ANA201305150","ANA",20130515,5,36,12,2,0,1,5,0,1,0,6,0,3,0,0,2,0,11,6,9,9,0,0,27,15,0,1,1,0,"daviw001","6","16","2"
"38","ANA201305150","KCA",20130515,9,38,13,4,1,0,8,0,0,0,5,0,5,2,0,1,0,7,5,5,5,1,0,27,10,0,0,2,0,"enrib001","3","6","0"
