"","GAME_ID","Team","Date","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP","PITCH_ID","PITCH_INN_CT","PITCH_OUTS","STRIKEOUTS"
"1","ANA201004050","ANA",20100405,6,33,9,0,0,3,6,0,0,0,3,0,5,1,0,0,0,6,4,3,3,0,0,27,10,0,0,1,0,"bakes002","5","14","3"
"2","ANA201004050","MIN",20100405,3,32,7,1,0,1,3,0,1,1,3,0,8,1,0,1,0,7,4,6,6,1,0,24,4,0,0,0,0,"weavj003","6","18","6"
"3","ANA201004060","ANA",20100406,3,33,8,1,0,1,3,0,0,0,4,0,6,0,0,1,0,7,3,5,5,1,0,27,16,1,0,3,0,"blacn001","7","20","4"
"4","ANA201004060","MIN",20100406,5,32,9,1,0,3,5,0,1,0,5,0,6,0,0,3,0,6,4,3,3,0,0,27,12,0,0,2,0,"saunj001","5","15","4"
"5","ANA201004070","ANA",20100407,2,35,9,2,0,0,2,0,0,1,0,0,6,0,1,0,0,7,3,4,4,1,0,27,12,0,0,0,0,"pavac001","7","21","6"
"6","ANA201004070","MIN",20100407,4,34,7,0,1,2,4,0,1,0,1,0,7,2,0,0,0,5,3,2,2,0,0,27,12,0,0,0,0,"sante001","6","18","4"
"7","ANA201004080","ANA",20100408,1,34,8,1,0,0,1,0,1,0,2,0,9,0,0,0,0,9,4,10,10,0,0,27,17,1,0,1,0,"slowk001","6","16","3"
"8","ANA201004080","MIN",20100408,10,37,11,3,0,3,10,1,0,0,6,0,5,0,0,1,0,7,5,1,1,0,0,27,6,0,0,0,0,"pinej001","7","18","2"
"9","ANA201004090","ANA",20100409,4,35,8,1,0,2,4,0,1,0,2,0,10,0,0,1,0,7,3,8,8,0,0,27,18,3,0,1,0,"gonzg003","7","18","6"
"10","ANA201004090","OAK",20100409,10,41,13,4,0,1,10,0,0,1,3,0,5,0,0,1,0,8,3,3,3,1,0,27,6,2,0,1,0,"palmm001","6","15","3"
"11","ANA201004100","ANA",20100410,4,36,13,6,0,0,4,0,0,0,4,1,5,0,1,1,0,11,4,3,3,1,0,27,8,0,0,0,0,"sheeb001","6","18","1"
"12","ANA201004100","OAK",20100410,3,33,6,2,0,1,3,0,0,0,2,0,9,0,0,0,0,5,4,4,4,0,0,25,10,1,0,1,0,"weavj003","6","18","7"
"13","ANA201004110","ANA",20100411,4,32,7,1,0,2,4,0,1,0,2,0,4,0,0,1,0,4,5,6,6,0,0,27,11,1,0,0,0,"bradd002","6","18","2"
"14","ANA201004110","OAK",20100411,9,34,9,2,0,1,8,2,0,0,6,0,5,2,1,0,0,6,2,4,4,0,0,27,13,0,0,1,0,"saunj001","7","18","2"
"15","ANA201004190","ANA",20100419,2,26,4,2,0,0,1,0,0,1,3,0,2,0,0,1,0,4,3,0,0,0,0,27,11,0,0,2,0,"willd003","6","18","2"
"16","ANA201004190","DET",20100419,0,34,9,1,0,0,0,0,0,1,0,0,5,0,0,1,0,8,2,2,2,0,0,24,12,1,0,2,0,"pinej001","8","22","4"
"17","ANA201004200","ANA",20100420,6,32,10,3,0,0,6,0,0,1,3,0,8,1,0,2,0,6,6,5,5,0,0,27,4,0,0,0,0,"porcr001","5","13","5"
"18","ANA201004200","DET",20100420,5,38,11,2,1,0,5,0,0,0,4,0,13,1,0,0,0,10,3,6,6,2,0,24,7,1,0,2,0,"kazms001","6","17","7"
"19","ANA201004210","ANA",20100421,3,32,4,1,0,1,3,0,0,0,2,0,7,2,0,1,0,4,4,4,4,0,0,27,6,0,0,2,0,"bondj001","6","18","5"
"20","ANA201004210","DET",20100421,4,32,8,1,0,2,4,0,0,0,4,0,9,2,1,1,0,5,4,3,3,0,0,27,11,2,0,1,0,"weavj003","7","21","6"
"21","ANA201004220","ANA",20100422,4,34,9,2,0,1,4,0,0,1,5,0,9,1,0,1,0,9,4,5,5,0,0,27,13,1,0,0,0,"verlj001","5","15","4"
"22","ANA201004220","DET",20100422,5,34,11,7,0,0,5,1,1,0,7,1,5,0,1,0,0,11,5,4,4,0,0,27,10,0,1,2,0,"saunj001","3","8","0"
"23","ANA201004230","ANA",20100423,6,32,12,4,0,1,5,0,0,2,2,0,4,1,2,2,0,6,4,4,4,0,0,27,9,1,0,0,0,"burna001","7","19","3"
"24","ANA201004230","NYA",20100423,4,35,8,2,0,1,4,0,0,2,3,0,6,2,0,0,0,9,3,6,6,0,0,24,13,1,0,2,0,"sante001","6","18","3"
"25","ANA201004240","ANA",20100424,1,31,7,1,0,0,1,0,1,0,0,0,8,0,0,1,0,4,3,7,7,1,0,27,18,0,1,1,0,"petta001","8","24","8"
"26","ANA201004240","NYA",20100424,7,38,14,2,1,0,7,1,0,0,3,1,4,1,0,1,0,8,2,1,1,0,0,27,12,0,0,1,0,"pinej001","6","18","2"
"27","ANA201004250","ANA",20100425,8,30,7,1,0,2,8,0,0,2,6,0,5,2,0,1,0,6,5,4,4,0,0,27,9,0,0,1,0,"vazqj001","4","11","3"
"28","ANA201004250","NYA",20100425,4,28,3,1,0,2,4,1,0,1,5,0,5,0,0,1,0,4,5,8,8,0,0,24,7,0,0,1,0,"kazms001","6","16","3"
"29","ANA201004260","ANA",20100426,5,35,15,4,0,2,5,1,1,0,4,0,7,1,0,2,0,12,6,2,2,0,0,27,7,1,0,0,0,"huffd001","6","16","4"
"30","ANA201004260","CLE",20100426,2,36,8,1,0,1,2,0,0,0,7,0,13,1,0,0,0,14,3,5,5,0,0,24,9,0,0,2,0,"weavj003","6","18","7"
"31","ANA201004270","ANA",20100427,2,35,9,0,0,1,2,0,0,0,4,0,4,0,0,0,0,10,4,9,9,2,0,27,14,0,0,3,0,"talbm001","7","19","1"
"32","ANA201004270","CLE",20100427,9,40,18,5,0,1,9,1,1,0,7,1,2,0,0,2,0,13,4,2,2,0,0,27,11,0,0,0,0,"saunj001","5","15","2"
"33","ANA201004280","ANA",20100428,4,31,6,1,0,1,4,0,0,0,3,2,7,0,0,2,0,4,4,3,3,0,0,27,8,0,0,2,0,"westj001","6","18","7"
"34","ANA201004280","CLE",20100428,3,31,8,2,0,0,3,1,1,1,4,0,10,2,1,1,0,8,6,4,4,0,0,26,16,1,0,2,0,"sante001","7","20","8"
"35","ANA201005100","ANA",20100510,5,36,8,1,0,2,5,1,2,1,1,0,10,0,2,0,1,5,6,4,4,4,0,33,8,1,0,1,0,"garzm001","8","23","7"
"36","ANA201005100","TBA",20100510,4,44,12,2,0,1,4,0,0,1,4,0,12,0,1,1,0,12,4,5,5,1,0,32,11,2,0,2,0,"pinej001","7","19","7"
"37","ANA201005110","ANA",20100511,2,34,8,1,0,0,2,0,0,0,3,0,6,1,0,0,0,8,4,7,7,1,0,27,10,0,0,1,0,"niemj001","8","22","4"
"38","ANA201005110","TBA",20100511,7,35,12,2,0,1,7,1,1,0,5,0,8,2,1,1,0,8,5,2,2,0,0,27,12,0,0,0,0,"kazms001","5","15","2"
"39","ANA201005120","ANA",20100512,3,33,8,2,0,0,3,0,1,0,3,0,6,3,0,1,0,7,3,1,1,1,0,27,7,1,2,0,0,"pricd001","7","19","6"
"40","ANA201005120","TBA",20100512,4,36,8,4,0,0,2,0,0,0,2,0,14,2,0,0,0,7,6,2,2,0,0,27,13,1,0,1,0,"weavj003","7","21","12"
"41","ANA201005140","ANA",20100514,4,29,7,2,0,1,4,2,0,0,1,0,5,0,0,0,0,4,1,0,0,1,0,27,12,0,0,1,0,"bradd002","8","24","5"
"42","ANA201005140","OAK",20100514,0,30,4,1,0,0,0,0,0,0,2,0,6,0,1,0,0,5,1,4,4,0,0,24,9,0,0,0,0,"saunj001","9","27","6"
