"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"1","ANA201004050",20100405,"MIN",3,32,7,1,0,1,3,0,1,1,3,0,8,1,0,1,0,7,4,6,6,1,0,24,4,0,0,0,0
"14","ANA201004060",20100406,"MIN",5,32,9,1,0,3,5,0,1,0,5,0,6,0,0,3,0,6,4,3,3,0,0,27,12,0,0,2,0
"21","ANA201004070",20100407,"MIN",4,34,7,0,1,2,4,0,1,0,1,0,7,2,0,0,0,5,3,2,2,0,0,27,12,0,0,0,0
"36","ANA201004080",20100408,"MIN",10,37,11,3,0,3,10,1,0,0,6,0,5,0,0,1,0,7,5,1,1,0,0,27,6,0,0,0,0
"47","ANA201004090",20100409,"OAK",10,41,13,4,0,1,10,0,0,1,3,0,5,0,0,1,0,8,3,3,3,1,0,27,6,2,0,1,0
"62","ANA201004100",20100410,"OAK",3,33,6,2,0,1,3,0,0,0,2,0,9,0,0,0,0,5,4,4,4,0,0,25,10,1,0,1,0
"77","ANA201004110",20100411,"OAK",9,34,9,2,0,1,8,2,0,0,6,0,5,2,1,0,0,6,2,4,4,0,0,27,13,0,0,1,0
"185","ANA201004190",20100419,"DET",0,34,9,1,0,0,0,0,0,1,0,0,5,0,0,1,0,8,2,2,2,0,0,24,12,1,0,2,0
"193","ANA201004200",20100420,"DET",5,38,11,2,1,0,5,0,0,0,4,0,13,1,0,0,0,10,3,6,6,2,0,24,7,1,0,2,0
"208","ANA201004210",20100421,"DET",4,32,8,1,0,2,4,0,0,0,4,0,9,2,1,1,0,5,4,3,3,0,0,27,11,2,0,1,0
"223","ANA201004220",20100422,"DET",5,34,11,7,0,0,5,1,1,0,7,1,5,0,1,0,0,11,5,4,4,0,0,27,10,0,1,2,0
"234","ANA201004230",20100423,"NYA",4,35,8,2,0,1,4,0,0,2,3,0,6,2,0,0,0,9,3,6,6,0,0,24,13,1,0,2,0
"248","ANA201004240",20100424,"NYA",7,38,14,2,1,0,7,1,0,0,3,1,4,1,0,1,0,8,2,1,1,0,0,27,12,0,0,1,0
"264","ANA201004250",20100425,"NYA",4,28,3,1,0,2,4,1,0,1,5,0,5,0,0,1,0,4,5,8,8,0,0,24,7,0,0,1,0
"279","ANA201004260",20100426,"CLE",2,36,8,1,0,1,2,0,0,0,7,0,13,1,0,0,0,14,3,5,5,0,0,24,9,0,0,2,0
"289","ANA201004270",20100427,"CLE",9,40,18,5,0,1,9,1,1,0,7,1,2,0,0,2,0,13,4,2,2,0,0,27,11,0,0,0,0
"305","ANA201004280",20100428,"CLE",3,31,8,2,0,0,3,1,1,1,4,0,10,2,1,1,0,8,6,4,4,0,0,26,16,1,0,2,0
"470","ANA201005100",20100510,"TBA",4,44,12,2,0,1,4,0,0,1,4,0,12,0,1,1,0,12,4,5,5,1,0,32,11,2,0,2,0
"479","ANA201005110",20100511,"TBA",7,35,12,2,0,1,7,1,1,0,5,0,8,2,1,1,0,8,5,2,2,0,0,27,12,0,0,0,0
"492","ANA201005120",20100512,"TBA",4,36,8,4,0,0,2,0,0,0,2,0,14,2,0,0,0,7,6,2,2,0,0,27,13,1,0,1,0
"516","ANA201005140",20100514,"OAK",0,30,4,1,0,0,0,0,0,0,2,0,6,0,1,0,0,5,1,4,4,0,0,24,9,0,0,0,0
"530","ANA201005150",20100515,"OAK",3,35,11,2,0,1,2,2,0,0,3,0,7,0,0,2,0,10,4,11,11,0,0,24,11,2,0,0,0
